title,authors,description,ISBN
Summer Sisters,['Judy Blume'],"#1 NEW YORK TIMES BESTSELLER In the summer of 1977, Victoria Leonard’s world changes forever when Caitlin Somers chooses her as a friend. Dazzling, reckless Caitlin welcomes Vix into the heart of her sprawling, eccentric family, opening doors to a world of unimaginable privilege, sweeping her away to vacations on Martha’s Vineyard, an enchanting place where the two friends become “summer sisters.” Now, years later, Vix is working in New York City. Caitlin is getting married on the Vineyard. And the early magic of their long, complicated friendship has faded. But Caitlin begs Vix to come to her wedding, to be her maid of honor. And Vix knows that she will go—because she wants to understand what happened during that last shattering summer. And, after all these years, she needs to know why her best friend—her summer sister—still has the power to break her heart. Praise for Summer Sisters “Compulsively readable . . . [Blume’s] powers are prodigious.”—The New York Times Book Review “As warm as a summer breeze blowing through your hair, as nostalgic as James Taylor singing ‘How Sweet It Is.’ You remember. So does Judy Blume. How sweet it was.”—Chicago Tribune “An exceptionally moving story that can leave the reader laughing and crying . . . sometimes at the same time . . . Blume creates a rich tapestry of characters.”—The Denver Post “Blume’s characters still tend to hover after the book is set aside. . . . She catches perfectly the well-armored love between longtime female friends.”—The Seattle Times",0440226430
The Nanny Diaries,"['Emma Mclaughlin', 'Nicola Kraus']","A satirical glimpse into Manhattan's upper class follows Nanny, a struggling NYU student who takes a position caring for the son of the rich and glamorous X family, as she learns how to juggle a vast array of tasks so that a Park Avenue wife never has tolift a well-manicured finger.",0312278586
Good in Bed,['Jennifer Weiner'],"Humiliated to discover that her ex-boyfriend has been chronicling their former sex life in a series of articles called ""Loving a Larger Woman"" in a popular women's magazine, pop-culture journalist Cannie Shapiro embarks on an adventure-filled odyssey as she confronts her losses, makes peace with the past, and comes to terms with herself, her dreams, and her goals in life. A first novel. Reprint. 50,000 first printing.",0743418174
She's Come Undone,['Wally Lamb'],"In this extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years. Meet Dolores Price. She's 13, wise-mouthed but wounded, having bid her childhood goodbye. Stranded in front of her bedroom TV, she spends the next few years nourishing herself with the Mallomars, potato chips, and Pepsi her anxious mother supplies. When she finally orbits into young womanhood at 257 pounds, Dolores is no stronger and life is no kinder. But this time she's determined to rise to the occasion and give herself one more chance before she really goes under.",0671021001
Jurassic Park,['Michael Crichton'],"A breakthrough in genetic engineering leads to the development of a technique for recovering and cloning dinosaur DNA, a method that brings about the creation of Jurassic Park, a tourist attraction populated by creatures extinct for eons. Reissue.",0345370775
The Notebook,['Nicholas Sparks'],"Experience the unforgettable, heartbreaking love story set in post-World War II North Carolina about a young socialite and the boy who once stole her heart -- one of PBS's ""Great American Reads"". Every so often a love story so captures our hearts that it becomes more than a story-it becomes an experience to remember forever. The Notebook is such a book. It is a celebration of how passion can be ageless and timeless, a tale that moves us to laughter and tears and makes us believe in true love all over again... At thirty-one, Noah Calhoun, back in coastal North Carolina after World War II, is haunted by images of the girl he lost more than a decade earlier. At twenty-nine, socialite Allie Nelson is about to marry a wealthy lawyer, but she cannot stop thinking about the boy who long ago stole her heart. Thus begins the story of a love so enduring and deep it can turn tragedy into triumph, and may even have the power to create a miracle...",0446605239
The Summons,['John Grisham'],"Ray and his brother, Forrest, receive a letter from their father, a reclusive, retired judge, instructing them to return home to discuss his estate, but the judge dies before they arrive, leaving behind a secret known only to Ray.",0440241073
She's Come Undone,['Wally Lamb'],"Overweight and sensitive Dolores Price grows from painful childhood, through excruciating adolescence, to lonely adulthood, experiencing the heartache of being a misfit in a confusing world",0671003755
Little Altars Everywhere,['Rebecca Wells'],"Don't miss Little Altars Everywhere, the New York Times bestselling companion novel that introduces the Ya-Yas and is also a basis for the film.",0060976845
The No. 1 Ladies' Detective Agency,['Alexander McCall Smith'],"Working in Gaborone, Botswana, Precious Ramotswe investigates several local mysteries, including a search for a missing boy and the case of the clinic doctor with different personalities for different days of the week.",1400034779
The Five People You Meet in Heaven,['Mitch Albom'],"Killed in a tragic accident, Eddie, an elderly man who believes that he had an uninspired life, awakens in the afterlife, where he discovers that heaven consists of having five people explain the meaning of one's life.",0786868716
The Testament,['John Grisham'],"A suicidal billionaire, a burnt-out Washington litigator, and a woman who has forsaken technology to work in the wilds of Brazil are all brought together by an astounding mystery of the testament",0440234743
The Horse Whisperer,['Nicholas Evans'],"After her teenage daughter and the girl's horse are injured in a tragic accident, Annie Graves journeys across the continent in search of Tom Booker, the Horse Whisperer, in the hope that he can use his ancient gift to help both the horse and the maimed girl",0440222656
The Runaway Jury,['John Grisham'],"A member of the jury for the century's most explosive trial against a giant tobacco company, Juror #2, a mysterious man with a past and a hidden agenda, joins forces with a beautiful woman on the outside to get the verdict he wants, no matter what the cost. Reissue. (A 20th Century Fox film, releasing Fall 2003, starring Gene Hackman, Dustin Hoffman, & John Cusack) (Suspense)",0440221471
A Prayer for Owen Meany,['John Irving'],"While playing baseball in the summer of 1953, Owen Meany hits a foul ball that kills his best friend's mother, and he becomes convinced that he is an instrument of God",0345361792
The Brethren,['John Grisham'],"In a federal prison, three former judges who call themselves ""the brethren"" meet in the law library to run a rougher form of justice inside their community and make a some money, but when one of their scams derails, they are forced to confront the world of their own creation.",0440236673
Timeline,['Michael Crichton'],"Using a quantum time machine, a group of young historians is sent back to the year 1357 to rescue their trapped project leader.",0345417623
The Catcher in the Rye,['J.D. Salinger'],"The ""brilliant, funny, meaningful novel"" (The New Yorker) that established J. D. Salinger as a leading voice in American literature--and that has instilled in millions of readers around the world a lifelong love of books. ""If you really want to hear about it, the first thing you'll probably want to know is where I was born, and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it, if you want to know the truth."" The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caufield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days.",0316769487
1st to Die,['James Patterson'],"Four crime-solving friends face off against a killer in San Francisco in the Women's Murder Club novel that started James Patterson's thrilling series. Each one holds a piece of the puzzle: Lindsay Boxer is a homicide inspector in the San Francisco Police Department, Claire Washburn is a medical examiner, Jill Bernhardt is an assistant D.A., and Cindy Thomas just started working the crime desk of the San Francisco Chronicle. But the usual procedures aren't bringing them any closer to stopping the killings. So these women form a Women's Murder Club to collaborate outside the box and pursue the case by sidestepping their bosses and giving each other a hand. The four women develop intense bonds as they pursue a killer whose crimes have stunned an entire city. Working together, they track down the most terrifying and unexpected killer they have ever encountered--before a shocking conclusion in which everything they knew turns out to be devastatingly wrong. Full of the breathtaking drama and unforgettable emotions for which James Patterson is famous, 1st to Die is the start of the #1 New York Times bestselling series of crime thrillers.",0446610038
Tuesdays with Morrie,['Mitch Albom'],"A sportswriter conveys the wisdom of his late mentor, professor Morrie Schwartz, recounting their weekly conversations as Schwartz lay dying",0385484518
To Kill a Mockingbird,['Harper Lee'],"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic. Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",0446310786
The Rainmaker,['John Grisham'],"Abandoning his aspirations about living the good life, Memphis attorney Rudy Baylor fears he will lose everything in the face of a pivotal case that could cost him his life or turn him into the biggest rainmaker in the land. Reprint.",044022165X
Midwives,['Chris Bohjalian'],"In the winter of 1981, trapped by unpassable roads, midwife Sibyl Danforth makes a life-altering decision when she performs an emergency cesarean section on a woman she fears has died of a stroke",0375706771
The Street Lawyer,['John Grisham'],"After a violent encounter with a homeless man, talented corporate lawyer Michael finds himself out in the streets, lucky to be alive, and holding a top-secret file belonging to his former employers",0440225701
The Chamber,['John Grisham'],"Twenty-two years after the bombing of a Mississippi law office in which Marvin Kramer's two sons died, Klan member Sam Cayhill, the accused killer, has nearly exhausted his death row appeals, until young lawyer Adam Hall takes the case",0440220602
Divine Secrets of the Ya-Ya Sisterhood,['Rebecca Wells'],"SiddaLee has escaped her Louisiana hometown to become a theatrical director, but as she gathers mementos from the Ya-Ya Sisterhood to assist in writing a play about women's friendships, she yearns to revisit her childhood.",0060502258
Message in a Bottle,['Nicholas Sparks'],"In this New York Times bestseller, a single mother sets out to find the North Carolina man who sent a message meant for someone else . . . and the journey may change her life forever. Divorced and disillusioned about relationships, Theresa Osborne is jogging when she finds a bottle on the beach. Inside is a letter of love and longing to ""Catherine,"" signed simply ""Garrett."" Challenged by the mystery and pulled by emotions she doesn't fully understand, Theresa begins a search for this man that will change her life. What happens to her is unexpected, perhaps miraculous-an encounter that embraces all our hopes for finding someone special, for having a love that is timeless and everlasting.... Nicholas Sparks exquisitely chronicles the human heart. In his first bestselling novel, The Notebook, he created a testament to romantic love that touched readers around the world. Now in this New York Times bestseller, he renews our faith in destiny, in the ability of lovers to find each other no matter where, no matter when...",0446606812
Sphere,['Michael Crichton'],Four American scientists are summoned in great secrecy to the South Pacific to investigate a giant spacecraft at least three hundred years old,0345353145
The Bridges of Madison County,['Robert James Waller'],"Fall in love with one of the bestselling novels of all time -- the legendary love story that became a beloved film starring Clint Eastwood and Meryl Streep. If you've ever experienced the one true love of your life, a love that for some reason could never be, you will understand why readers all over the world are so moved by this small, unknown first novel that they became a publishing phenomenon and #1 bestseller. The story of Robert Kincaid, the photographer and free spirit searching for the covered bridges of Madison County, and Francesca Johnson, the farm wife waiting for the fulfillment of a girlhood dream, The Bridges of Madison County gives voice to the longings of men and women everywhere -- and shows us what it is to love and be loved so intensely that life is never the same again.",044651652X
The Girls' Guide to Hunting and Fishing,['Melissa Bank'],"The New York Times bestselling classic of a young woman’s journey in work, love, and life “In this swinging, funny, and tender study of contemporary relationships, Bank refutes once and for all the popular notions of neurotic thirtysomething women.” —Entertainment Weekly “Truly poignant.” —Time Generous-hearted and wickedly insightful, The Girls’ Guide to Hunting and Fishing maps the progress of Jane Rosenal as she sets out on a personal and spirited expedition through the perilous terrain of sex, love, relationships, and the treacherous waters of the workplace. Soon Jane is swept off her feet by an older man and into a Fitzgeraldesque whirl of cocktail parties, country houses, and rules that were made to be broken, but comes to realize that it’s a world where the stakes are much too high for comfort. With an unforgettable comic touch, Bank skillfully teases out universal issues, puts a clever new spin on the mating dance, and captures in perfect pitch what it’s like to come of age as a young woman.",0140293248
The Client,['John Grisham'],"Eleven-year-old Mark Sway accidentally witnesses a murder and becomes the target of relentless prosecutors and the mob, and the only person who can save him is Reggie Love, an attorney barely out of law school. Reprint.",0440213525
While I was Gone,['Sue Miller'],"Having moved on with her life after a friend was brutally murdered, Jo Becker is now married with a grown family, but when an old housemate moves into the neighborhood, Jo rekindles a relationship that takes her back to the past and threatens her future",0345443284
The Perfect Storm,['Sebastian Junger'],"October 1991. It was ""the perfect storm""--a tempest that may happen only once in a century--a nor'easter created by so rare a combination of factors that it could not possibly have been worse. Creating waves ten stories high and winds of 120 miles an hour, the storm whipped the sea to inconceivable levels few people on Earth have ever witnessed. Few, except the six-man crew of the Andrea Gail, a commercial fishing boat tragically headed towards its hellish center.",006101351X
White Oleander,['Janet Fitch'],"Everywhere hailed as a novel of rare beauty and power, White Oleander tells the unforgettable story of Ingrid, a brilliant poet imprisoned for murder, and her daughter, Astrid, whose odyssey through a series of Los Angeles foster homes-each its own universe, with its own laws, its own dangers, its own hard lessons to be learned-becomes a redeeming and surprising journey of self-discovery.",0316284955
The Reader,['Bernhard Schlink'],"At the age of fifteen, Michael Berg falls in love with a woman who disappears, and while observing a trial as a law student years later, he is shocked to discover the same woman as the defendant in a horrible crime",0375707972
The Nanny Diaries,"['Emma McLaughlin', 'Nicola Kraus']","Nanny, a struggling NYU student, takes a position caring for the son of the rich and glamorous X family, and learns how to juggle a vast array of tasks so that a Park Avenue wife never has to lift a well-manicured finger.",0312291639
Confessions of a Shopaholic,['Sophie Kinsella'],"From the #1 New York Times bestselling author of The Party Crasher and Love Your Life comes “a hilarious tale . . . hijinks worthy of classic I Love Lucy episodes . . . too good to pass up.” (USA Today) “Sophie Kinsella keeps her finger on the cultural pulse, while leaving me giddy with laughter.”—Jojo Moyes, author of The Giver of Stars and The Last Letter from Your Lover Becky Bloomwood has a fabulous flat in London’s trendiest neighborhood, a troupe of glamorous socialite friends, and a closet brimming with the season’s must-haves. The only trouble is, she can’t actually afford it—not any of it. Her job writing at Successful Saving magazine not only bores her to tears, it doesn’t pay much at all. And lately Becky’s been chased by dismal letters from the bank—letters with large red sums she can’t bear to read. She tries cutting back. But none of her efforts succeeds. Her only consolation is to buy herself something . . . just a little something. Finally a story arises that Becky actually cares about, and her front-page article catalyzes a chain of events that will transform her life—and the lives of those around her—forever. Praise for Sophie Kinsella and Confessions of a Shopaholic “Kinsella’s Bloomwood is plucky and funny. . . . You won’t have to shop around to find a more winning protagonist.”—People “If a crème brûlée could be transmogrified into a book, it would be Confessions of a Shopaholic.”—The Star-Ledger “A have-your-cake-and-eat-it romp, done with brio and not a syllable of moralizing. . . . Kinsella has a light touch and puckish humor.”—Kirkus Reviews",0385335482
Bel Canto,['Ann Patchett'],"When terrorists seize hostages at an embassy party, an unlikely assortment of people is thrown together, including American opera star Roxane Coss and Mr. Hosokawa, a Japanese CEO and her biggest fan. By the author of The Magician's Assistant. Reprint.",0060934417
The Partner,['John Grisham'],"Thought killed in a car accident four years earlier, Patrick Lanigan is discovered living in Brazil under the name of Danilo Silva and presumably in possession of millions of dollars missing from his former firm's offshore account",0440224764
The Shipping News,['Annie Proulx'],Surprising transformations take place when a newspaperman's elderly aunt and two daughters decide to move back to their family home on the coast of Newfoundland,0671510053
We Were the Mulvaneys,['Joyce Carol Oates'],"An Oprah Book Club® selection A New York Times Notable Book The Mulvaneys are blessed by all that makes life sweet. But something happens on Valentine’s Day, 1976—an incident that is hushed up in the town and never spoken of in the Mulvaney home—that rends the fabric of their family life...with tragic consequences. Years later, the youngest son attempts to piece together the fragments of the Mulvaneys’ former glory, seeking to uncover and understand the secret violation that brought about the family’s tragic downfall. Profoundly cathartic, this extraordinary novel unfolds as if Oates, in plumbing the darkness of the human spirit, has come upon a source of light at its core. Moving away from the dark tone of her more recent masterpieces, Joyce Carol Oates turns the tale of a family struggling to cope with its fall from grace into a deeply moving and unforgettable account of the vigor of hope and the power of love to prevail over suffering. “It’s the novel closest to my heart....I’m deeply moved that Oprah Winfrey has selected this novel for Oprah’s Book Club, a family novel presented to Oprah’s vast American family.”—Joyce Carol Oates",0452282829
Into Thin Air,['Jon Krakauer'],"The author describes his spring 1996 trek to Mt. Everest, a disastrous expedition that claimed the lives of eight climbers, and explains why he survived",0385492081
Stones from the River,['Ursula Hegi'],"From the acclaimed author of Floating in My Mother’s Palm and Children and Fire, a stunning story about ordinary people living in extraordinary times—“epic, daring, magnificent, the product of a defining and mesmerizing vision” (Los Angeles Times). Trudi Montag is a Zwerg—a dwarf—short, undesirable, different, the voice of anyone who has ever tried to fit in. Eventually she learns that being different is a secret that all humans share—from her mother who flees into madness, to her friend Georg whose parents pretend he’s a girl, to the Jews Trudi harbors in her cellar. Ursula Hegi brings us a timeless and unforgettable story in Trudi and a small town, weaving together a profound tapestry of emotional power, humanity, and truth.",068484477X
Me Talk Pretty One Day,['David Sedaris'],"A recent transplant to Paris, humorist David Sedaris, bestselling author of ""Naked"", presents a collection of his strongest work yet, including the title story about his hilarious attempt to learn French. A number one national bestseller now in paperback.",0316776963
Harry Potter and the Order of the Phoenix,['J. K. Rowling'],"Collects the complete series that relates the adventures of young Harry Potter, who attends Hogwarts School of Witchcraft and Wizardry, where he and others of his kind learn their craft.",043935806X
Wicked,['Gregory Maguire'],"When Dorothy triumphed over the Wicked Witch of the West in L. Frank Baum's classic tale, we heard only her side of the story. But what about her arch-nemesis, the mysterious witch? Where did she come from? How did she become so wicked? And what is the true nature of evil? Gregory Maguire creates a fantasy world so rich and vivid that we will never look at Oz the same way again. Wicked is about a land where animals talk and strive to be treated like first-class citizens, Munchkinlanders seek the comfort of middle-class stability and the Tin Man becomes a victim of domestic violence. And then there is the little green-skinned girl named Elphaba, who will grow up to be the infamous Wicked Witch of the West, a smart, prickly and misunderstood creature who challenges all our preconceived notions about the nature of good and evil.",0060987103
Angela's Ashes,['Frank McCourt'],"""When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish childhood, and worse y",0684872153
Empire Falls,['Richard Russo'],"NATIONAL BESTSELLER • PULITZER PRIZE WINNER • The bestselling author of Nobody's Fool and Straight Man delves deep into the blue-collar heart of America in a work that overflows with hilarity, heartache, and grace. “Rich, humorous ... Mr. Russo’s most seductive book thus far.” —The New York Times Welcome to Empire Falls, a blue-collar town full of abandoned mills whose citizens surround themselves with the comforts and feuds provided by lifelong friends and neighbors and who find humor and hope in the most unlikely places, in this Pulitzer Prize-winning novel by Richard Russo. Miles Roby has been slinging burgers at the Empire Grill for 20 years, a job that cost him his college education and much of his self-respect. What keeps him there? It could be his bright, sensitive daughter Tick, who needs all his help surviving the local high school. Or maybe it’s Janine, Miles’ soon-to-be ex-wife, who’s taken up with a noxiously vain health-club proprietor. Or perhaps it’s the imperious Francine Whiting, who owns everything in town–and seems to believe that “everything” includes Miles himself.",0375726403
Fahrenheit 451,['Ray Bradbury'],"A totalitarian regime has ordered all books to be destroyed, but one of the book burners suddenly realizes their merit, in a chilling novel of a frightening near-future world. Reissue.",0345342968
Fast Food Nation,['Eric Schlosser'],"Explores the homogenization of American society and the impact of the fast food industry on modern-day health, economics, politics, popular culture, entertainment, and food production.",0060938455
A Map of the World,['Jane Hamilton'],"NATIONAL BESTSELLER • From the author of the widely acclaimed The Book of Ruth comes a harrowing, heartbreaking drama about a rural American family and a disastrous event that forever changes their lives. ""It takes a writer of rare power and discipline to carry off an achievement like A Map of the World. Hamilton proves here that she is one of the best."" —Newsweek The Goodwins, Howard, Alice, and their little girls, Emma and Claire, live on a dairy farm in Wisconsin. Although suspiciously regarded by their neighbors as ""that hippie couple"" because of their well-educated, urban background, Howard and Alice believe they have found a source of emotional strength in the farm, he tending the barn while Alice works as a nurse in the local elementary school. But their peaceful life is shattered one day when a neighbor's two-year-old daughter drowns in the Goodwins' pond while under Alice's care. Tormented by the accident, Alice descends even further into darkness when she is accused of sexually abusing a student at the elementary school. Soon, Alice is arrested, incarcerated, and as good as convicted in the eyes of a suspicious community. As a child, Alice designed her own map of the world to find her bearings. Now, as an adult, she must find her way again, through a maze of lies, doubt and ill will. A vivid human drama of guilt and betrayal, A Map of the World chronicles the intricate geographies of the human heart and all its mysterious, uncharted terrain. The result is a piercing drama about family bonds and a disappearing rural American life.",0385720106
The Book of Ruth,['Jane Hamilton'],"Winner of the 1989 PEN/Hemingway Foundation Award for best first novel, this exquisite book confronts real-life issues of alienation and violence from which the author creates a stunning testament to the human capacity for mercy, compassion and love.",0385265700
Cold Mountain,['Charles Frazier'],"Inman, an injured and disillusioned Confederate soldier, embarks on a harrowing journey home to his sweetheart, Ada, who herself is struggling to run the farm left her at her father's sudden death",0375700757
The Alienist,['Caleb Carr'],"In 1896 New York, psychologist--or in period terminology, an alienist--Laszlo Kreizler joins forces with journalist John Schuyler Moore to track a vicious serial killer",0553572997
American Gods,['Neil Gaiman'],"Shadow is a man with a past. But now he wants nothing more than to live a quiet life with his wife and stay out of trouble. Until he learns that she's been killed in a terrible accident. Flying home for the funeral, as a violent storm rocks the plane, a strange man in the seat next to him introduces himself. The man calls himself Mr. Wednesday, and he knows more about Shadow than is possible. He warns Shadow that a far bigger storm is coming. And from that moment on, nothing will ever he the same...",0380789035
A Heartbreaking Work of Staggering Genius,['Dave Eggers'],"The author chronicles his life after the deaths of his parents, when he was responsible for the care and upbringing of his eight-year-old brother, and offers a new appendix clarifying, amending, and expanding the original work.",0375725784
The Vampire Lestat,['Anne Rice'],"#1 New York Times Bestselling author - Surrender to fiction's greatest creature of the night - Book II of the Vampire Chronicles The vampire hero of Anne Rice’s enthralling novel is a creature of the darkest and richest imagination. Once an aristocrat in the heady days of pre-revolutionary France, now a rock star in the demonic, shimmering 1980s, he rushes through the centuries in search of others like him, seeking answers to the mystery of his eternal, terrifying exsitence. His is a mesmerizing story—passionate, complex, and thrilling. Praise for The Vampire Lestat “Frightening, sensual . . . Anne Rice will live on through the ages of literature. . . . To read her is to become giddy as if spinning through the mind of time, to become lightheaded as if our blood is slowly being drained away.”—San Francisco Chronicle “Fiercely ambitious, nothing less than a complete unnatural history of vampires.”—The Village Voice “Brilliant . . . its undead characters are utterly alive.”—The New York Times Book Review “Luxuriantly created and richly told.”—The Cleveland Plain Dealer",0345313860
Lucky,['Alice Sebold'],"In a memoir hailed for its searing candor and wit, Alice Sebold reveals how her life was utterly transformed when, as an eighteen-year-old college freshman, she was brutally raped and beaten in a park near campus. What propels this chronicle of her recovery is Sebold's indomitable spirit-as she struggles for understanding (""After telling the hard facts to anyone, from lover to friend, I have changed in their eyes""); as her dazed family and friends sometimes bungle their efforts to provide comfort and support; and as, ultimately, she triumphs, managing through grit and coincidence to help secure her attacker's arrest and conviction. In a narrative by turns disturbing, thrilling, and inspiring, Alice Sebold illuminates the experience of trauma victims even as she imparts wisdom profoundly hard-won: ""You save yourself or you remain unsaved.""",0316096199
